"","Latitude","Longitude","problem"
"1",53.39853095,-1.309655298,"Murder"
"9",53.52809467,-1.186867172,"Rape"
"19",53.76582306,-1.644980178,"Gangrape"
"29",53.84949597,-0.728721562,"Murder"
"50",53.57369669,-1.729647958,"Murder"
"52",53.65382441,-1.396274489,"Murder"
"54",53.74712989,-1.454076566,"Murder"
"62",53.69417184,-1.744627651,"Murder"
"64",53.73146619,-2.153056512,"Theft"
"65",53.7912617,-1.753601957,"Gangrape"
"68",53.83447086,-1.788753042,"Murder"
"70",53.72098979,-1.683242864,"Murder"
"80",53.68229779,-0.411701254,"Gangrape"
"116",53.42488063,-1.36039466,"Theft"
"122",53.55128391,-1.476220778,"Rape"
"138",53.32370083,-1.521047115,"Rape"
"146",53.66659615,-1.539871734,"Theft"
"154",53.89952254,-1.371433221,"Murder"
"156",53.57913577,-0.664647463,"Murder"
"165",53.95821342,-2.077687528,"Theft"
"170",53.6934227,-1.505201894,"Theft"
"171",53.40575477,-1.496059425,"Rape"
"181",53.95601866,-0.532386922,"Rape"
"183",54.09065743,-0.218774284,"Theft"
"218",53.85940236,-1.682199308,"Rape"
"228",53.40365968,-1.429902747,"Rape"
"234",53.52429964,-1.096434402,"Murder"
"236",53.4267031,-1.365032643,"Rape"
"240",53.79600739,-1.470141714,"Theft"
"264",53.79834117,-1.558168311,"Rape"
"278",53.38967469,-1.409835592,"Rape"
"300",53.54548406,-0.190429789,"Rape"
"307",54.00590742,-1.543768085,"Theft"
"309",54.05039467,-1.543281154,"Rape"
"311",53.77615739,-1.515913863,"Theft"
"318",53.78013197,-0.997100962,"Rape"
"321",53.88018618,-1.727676648,"Rape"
"337",53.36073886,-1.479160134,"Murder"
"358",53.7021255,-1.272888473,"Rape"
"360",53.78617833,-1.773817854,"Murder"
"363",53.76598726,-1.705660008,"Murder"
"367",53.73879715,-1.546664228,"Theft"
"375",53.74769207,-0.294493424,"Theft"
"394",53.87416905,-1.90946778,"Rape"
"448",53.40515353,-1.404462156,"Rape"
"449",53.56581633,-1.503188777,"Rape"
"450",53.53353757,-1.156406909,"Murder"
"457",53.57056676,-0.70282187,"Theft"
"477",53.7299155,-1.660439858,"Theft"
"512",53.65749869,-1.850162838,"Rape"
"528",53.90058679,-1.626642024,"Theft"
"551",53.52236439,-1.138709594,"Rape"
"567",53.79783303,-1.758573463,"Theft"
"600",53.6065971,-0.990394746,"Rape"
"606",53.7333208,-1.273866314,"Murder"
"607",54.19207645,-1.465091555,"Rape"
"610",53.76650093,-1.091243545,"Murder"
"622",53.78357712,-1.576535381,"Theft"
"651",53.5001301,-1.172326582,"Rape"
"652",53.40502565,-1.345650575,"Rape"
"658",53.67902781,-1.501888524,"Theft"
"678",53.90966621,-1.727637324,"Murder"
"683",53.49464278,-1.298147308,"Theft"
"684",53.53768562,-1.850585441,"Murder"
"688",53.90053847,-1.706390056,"Rape"
"698",53.41205916,-1.498993783,"Murder"
"701",53.71238871,-1.913602202,"Rape"
"716",53.6156259,-0.183636513,"Theft"
"723",53.79700527,-1.561522286,"Murder"
"725",53.80739769,-1.754858937,"Theft"
"754",53.71236011,-1.880270196,"Rape"
"766",53.74442524,-1.642886052,"Murder"
"771",54.28966788,-1.387016996,"Rape"
"774",53.46421559,-1.504405275,"Rape"
"775",53.81091002,-1.530700364,"Rape"
"778",53.38768773,-1.475222885,"Theft"
"782",53.85110053,-1.393440405,"Theft"
"786",53.56106944,-0.656761568,"Murder"
"787",54.48255157,-1.17793038,"Rape"
"793",53.72992405,-1.663471254,"Theft"
"822",53.6754308,-1.5014768,"Theft"
"836",53.70962525,-2.152977097,"Rape"
"837",53.552785,-0.054252003,"Theft"
"847",53.7913634,-1.567197511,"Rape"
"851",53.96223349,-1.076643391,"Theft"
"875",53.90274926,-1.955826374,"Theft"
"907",53.70715767,-0.925875283,"Rape"
"908",53.50025844,-0.143053166,"Rape"
"924",53.853978,-1.342471069,"Theft"
"927",54.46691221,-1.666713791,"Rape"
"934",53.60381213,-1.551495227,"Rape"
"949",53.89434169,-1.731510632,"Theft"
"954",53.75301767,-1.831625039,"Theft"
"957",53.67097882,-1.834857912,"Theft"
"958",53.6710204,-1.832435971,"Murder"
"965",53.70765257,-1.743940145,"Theft"
"973",53.41873231,-1.115224904,"Murder"
"997",53.73254531,-0.201658491,"Theft"
"1008",53.7105755,-1.546967494,"Theft"
"1009",53.73204418,-1.498533877,"Theft"
"1026",53.63094039,-0.227155809,"Theft"
"1041",53.91812207,-1.164084425,"Theft"
"1044",53.93188932,-1.373384034,"Rape"
"1055",53.80679226,-1.534998157,"Theft"
"1057",53.80814334,-1.535742494,"Theft"
"1060",53.78493867,-1.531748929,"Murder"
"1061",53.78746702,-1.534756417,"Murder"
"1064",53.57398858,-0.092548694,"Rape"
"1086",54.29934685,-1.567421889,"Theft"
"1093",53.37523058,-1.463350982,"Rape"
"1095",53.3739857,-1.466372777,"Rape"
"1111",53.55652777,-1.483250879,"Murder"
"1115",53.9229847,-1.127441048,"Murder"
"1116",53.92383341,-1.120570778,"Rape"
"1130",53.54440454,-0.092068052,"Theft"
"1131",53.56568111,-0.101530085,"Rape"
"1157",53.40129839,-1.505136278,"Rape"
"1165",53.45678808,-1.450275749,"Rape"
"1167",53.46404549,-1.464943364,"Theft"
"1182",54.07877043,-0.205219883,"Theft"
"1185",53.70289691,-1.395572664,"Theft"
"1203",53.78057195,-1.364105995,"Murder"
"1237",53.75382883,-1.444890115,"Rape"
"1239",53.79276002,-1.428437346,"Murder"
"1248",53.87190834,-1.892743253,"Theft"
"1279",54.47989746,-0.627909777,"Rape"
"1284",53.98714525,-1.031696534,"Murder"
"1289",53.6989209,-1.324290127,"Rape"
"1290",53.76983659,-1.839902252,"Rape"
"1307",53.35034769,-1.374279562,"Theft"
"1311",54.00912773,-1.406404397,"Theft"
"1323",53.51113766,-1.443541288,"Rape"
"1326",54.11094988,-1.413823199,"Murder"
"1331",53.75467729,-0.327064617,"Theft"
"1336",53.63364239,-0.224471295,"Rape"
"1341",53.76086913,-1.513814326,"Theft"
"1357",53.72626973,-1.819606986,"Murder"
"1388",53.49488387,-1.34050018,"Rape"
"1390",53.69106441,-1.62289387,"Theft"
